id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1494301,Renovated nice 2 rooms apartment,7987049,Danny,Charlottenburg-Wilm.,Grunewald,52.49275,13.29113,Entire home/apt,41,1,4,2016-07-02,0.07,1,0
1497227,Beautiful Bedroom : Neukölln-Kreuzberg,8001305,Janis,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49185,13.42122,Private room,20,3,17,2018-11-13,0.24,1,83
1497716,L. Feuchtwanger Boutique Apartment,4423387,Elmar,Tempelhof - Schöneberg,Schöneberg-Nord,52.49321,13.3529,Entire home/apt,97,7,8,2019-04-08,0.12,3,110
1505572,Quiet room in 100m2 apartment in Neukölln,3113354,Maren,Neukölln,Neuköllner Mitte/Zentrum,52.47126,13.43649,Private room,25,2,18,2019-04-29,0.55,1,14
1507645,Super Bright Apartment in Center Neukölln,8053151,Namia,Neukölln,Neuköllner Mitte/Zentrum,52.46747,13.44156,Entire home/apt,42,30,34,2019-03-01,0.73,1,61
1510861,großes Zimmer bis 4 Gäste Prenzlberg,8069185,Tobias,Pankow,Pankow Süd,52.55789,13.42632,Private room,30,3,42,2019-04-27,0.64,1,78
1511005,Park Penthouse,1633560,Kai,Pankow,Helmholtzplatz,52.54297,13.41975,Private room,59,3,58,2019-04-29,1.67,1,37
1511192,Tolles Zimmer in Neukölln,8045818,Vera,Neukölln,Rixdorf,52.47076,13.45006,Private room,30,1,5,2016-10-02,0.12,2,0
1511249,Super cozy fully furnished 3 room apartement,2727210,Ramona,Pankow,Prenzlauer Berg Nord,52.551,13.42751,Entire home/apt,54,4,0,,,1,16
1517723,Very nice Apt. for rent ,8102293,Anais,Pankow,Prenzlauer Berg Südwest,52.53551,13.4088,Entire home/apt,36,6,1,2015-08-20,0.02,1,0
1521826,Double Bedroom with Balcony in Neukölln / Rixdorf,8122393,David,Neukölln,Rixdorf,52.47842,13.44671,Private room,46,3,37,2019-04-29,1.50,1,9
1523419,Heart of Berlin - Mitte,8048514,Billie,Mitte,Alexanderplatz,52.52783,13.408,Entire home/apt,90,3,2,2018-08-05,0.07,2,42
1523887,light flooded guest room in central location,4267717,Valeria-Ricarda,Tempelhof - Schöneberg,Schöneberg-Nord,52.49106,13.36856,Private room,60,2,10,2019-01-03,0.60,1,83
1525270,Voll ausgestattetes Dachloft mit Blick über Berlin,8138034,Matthias,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51579,13.46397,Entire home/apt,376,2,0,,,1,177
1525501,BRIGHT CLEAN & SPACIOUS OASIS 70sqm,8104364,Tanja,Pankow,Prenzlauer Berg Nordwest,52.55348,13.40826,Entire home/apt,44,29,8,2019-04-16,0.17,1,264
1528556,Beautiful big room in Berlin Moabit,8154292,,Mitte,Moabit Ost,52.53066,13.34488,Private room,45,2,3,2015-08-17,0.06,1,0
1532372,Sunny & spacious 2-Room-Apartement!,6111105,Stef,Neukölln,Rixdorf,52.47975,13.45013,Entire home/apt,69,2,121,2019-04-12,2.05,1,234
1536708,"Calm, Comfy and Sunny 1-Room Flat",8194421,Benjamin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5131,13.46298,Entire home/apt,56,3,51,2017-05-29,0.78,1,0
1537125,Cozy Flat for up to 4 people,8196204,Karen,Mitte,Brunnenstr. Nord,52.54112,13.39013,Entire home/apt,65,2,108,2019-03-07,1.57,2,36
1537417,Cozy room close to Rosentaler Platz,8196204,Karen,Mitte,Brunnenstr. Süd,52.5343,13.39418,Private room,40,1,135,2019-04-29,2.75,2,46
1541488,City Center - Beautiful apartment @ Alexanderplatz,7495091,Merlin,Mitte,Alexanderplatz,52.52535,13.40692,Entire home/apt,199,3,108,2019-05-07,1.66,1,323
